{
{ -3.61107f, 7.24704f, -5.95797f, -8.22742f, 4.93646f, -9.14215f, 3.54904f, -4.61686f, -0.71594f, -15.54136f, -18.60984f, -0.49994f, -2.18490f, -4.45848f, 4.17302f, -8.04931f },
{ -5.37988f, 23.67414f, 3.16607f, -10.43858f, 1.66517f, -0.18969f, -0.28481f, 0.97152f, -5.04852f, -2.51107f, -6.50614f, -12.22642f, -2.91972f, -17.74738f, -0.67279f, 22.50096f },
{ 12.05823f, 11.43876f, -7.04570f, 13.57157f, -12.63598f, 7.62526f, -0.88835f, -7.85611f, 20.39681f, 4.90939f, 7.01547f, 0.79689f, -3.51929f, 3.54455f, 20.25364f, -6.26317f },
{ -15.55011f, -4.95095f, 1.78698f, 1.77125f, 8.17329f, 7.03570f, -1.41873f, 10.93917f, -6.92499f, 2.84286f, 12.22731f, 9.13375f, 3.04043f, -5.39604f, 9.93953f, -12.14392f },
{ -16.00959f, -7.40589f, 1.55799f, 9.52374f, 7.92203f, 1.32653f, 0.76665f, 6.46061f, 3.82492f, -13.35082f, 0.13688f, 9.92146f, 12.39254f, -9.03402f, -6.11133f, -7.08495f },
{ -11.57547f, -11.70747f, 2.00903f, 22.00800f, 10.05178f, 5.25880f, -7.72366f, -24.70258f, 1.87046f, -6.19963f, -22.30018f, 5.02032f, 0.04651f, 4.75066f, -0.44531f, -2.21249f },
{ -5.83761f, 9.96202f, -0.61256f, -18.11528f, 3.51705f, 11.73652f, -9.36624f, -2.33339f, 7.56099f, 0.13535f, -9.91732f, -2.21636f, 6.04293f, 9.93408f, 6.34437f, 9.57105f },
{ 4.21566f, 8.38423f, 5.79933f, 6.88642f, -2.02439f, 11.05781f, 3.15368f, -12.91778f, -13.19638f, 26.63410f, 0.89816f, -1.90219f, 11.36027f, -5.15841f, 2.25028f, -1.19738f },
{ 9.19849f, 5.16409f, -14.07810f, 18.92201f, 6.17688f, 12.51189f, -2.81864f, 1.84782f, 4.56092f, 7.63897f, -13.76463f, 1.61141f, 1.86231f, -3.91215f, -10.62145f, -11.70203f },
{ 2.44932f, -11.32424f, -1.92184f, 11.43458f, 9.17417f, -14.69072f, -5.64596f, 2.27192f, -6.32799f, -8.07928f, 10.75774f, 3.32164f, -0.19994f, -5.81613f, -6.20244f, 2.15144f },
{ 19.99424f, 13.48587f, -0.73874f, 2.45480f, -14.17306f, 1.30119f, -18.82759f, -1.61205f, -3.06445f, 10.22525f, 14.83502f, -25.91109f, 12.41919f, -0.66865f, -5.64021f, 0.67759f },
{ -3.88211f, -7.08157f, -16.97133f, -3.43867f, 4.22303f, 11.07879f, 6.57348f, -9.86012f, 1.91258f, -13.31818f, -6.05927f, -11.36144f, 14.76900f, 10.26931f, -11.57492f, 10.19736f },
{ 6.15527f, 2.36901f, -0.10079f, 1.62903f, -3.28380f, -5.67341f, -6.11801f, -3.92749f, 5.06392f, -17.15090f, 5.42914f, 14.94907f, 11.59410f, 14.18056f, 18.75003f, -5.38055f },
{ -7.18996f, -8.37500f, -3.73135f, -6.79592f, 23.06105f, -18.16045f, -6.83937f, 0.30292f, 5.03515f, -15.57002f, -7.79136f, -1.35238f, -5.89488f, -9.94185f, -6.10909f, 1.25916f },
{ 11.18720f, 8.03591f, 6.65803f, -3.15887f, 6.23870f, -17.51405f, 10.63201f, 4.34857f, 8.83173f, 3.44651f, -2.48002f, 9.78339f, 22.20006f, 13.94685f, -10.87907f, 1.82922f },
{ 6.05700f, -5.52458f, -6.93326f, -5.64631f, 6.34706f, 21.85224f, -1.14816f, 2.08917f, -1.30416f, -19.95773f, 2.45057f, 7.83561f, -3.51483f, -3.59124f, -8.00436f, 1.83539f },
{ -12.66706f, 5.03010f, -21.69380f, -18.58961f, 1.88951f, -11.26254f, 4.70541f, 6.01341f, -12.47683f, -10.68837f, 7.50020f, -0.63745f, -10.14052f, -15.57909f, 6.70833f, -6.93074f },
{ 0.73517f, 9.03216f, 16.01782f, -7.78095f, 5.30167f, -3.59142f, 2.65058f, 1.89199f, -12.80134f, 6.62284f, 7.06631f, 10.13492f, 14.86937f, 7.11474f, 2.60359f, -7.51320f },
{ -12.85445f, 2.01953f, -12.92744f, -4.04929f, 8.71199f, 5.19941f, -11.43717f, 0.22833f, -5.90019f, -6.93150f, -12.79471f, -17.02111f, -6.71128f, -9.52145f, -7.84000f, -7.87376f },
{ -0.40219f, 6.94492f, -5.66717f, -23.70737f, 3.14557f, -2.48489f, 15.84889f, -15.42859f, 10.93700f, 10.67255f, 6.75627f, 0.61185f, 6.64393f, -7.68905f, -9.45158f, -5.88003f },
{ 7.69401f, -3.99678f, -8.97649f, -5.02579f, 13.61862f, -10.93196f, 3.17575f, 3.69254f, 18.21879f, -11.41109f, -20.43134f, 6.45529f, 0.93527f, 3.01077f, -12.64383f, 4.98156f },
{ 10.10934f, 8.15838f, -4.26300f, 7.55306f, -14.88904f, 4.29608f, -6.80516f, 5.53135f, 0.45917f, 3.26147f, 1.35391f, 14.37217f, -7.20945f, -12.43375f, -0.78107f, 13.30984f },
{ -8.74528f, 5.27257f, 19.61979f, 15.81695f, 0.19843f, 2.06883f, -10.64318f, -17.41888f, 1.12490f, 2.88679f, 11.02268f, -14.35256f, -4.12331f, 10.77583f, 1.35252f, 1.67513f },
{ 0.20795f, 2.94764f, 13.39822f, 12.55316f, 16.96167f, 7.81186f, 13.65051f, 5.95968f, 14.32080f, 6.42298f, 1.22903f, 10.89179f, -17.61471f, 18.46548f, -4.25377f, -6.16603f },
{ -4.47710f, -10.44610f, -7.16449f, -11.63275f, -24.64556f, 4.08255f, -7.26259f, 7.27681f, 3.82750f, -5.98094f, -6.45325f, 26.25002f, -18.86265f, 6.77435f, -22.95857f, 5.07845f },
{ -3.20414f, 5.90496f, -14.44634f, -5.58177f, 7.99833f, -7.81643f, -12.07194f, -7.78997f, -1.23953f, -17.80228f, -2.78549f, 8.20953f, -4.74446f, 2.84620f, 0.78007f, -3.16494f },
{ 6.30830f, 0.17336f, -7.60433f, 0.39974f, 14.07882f, 11.52081f, 18.64498f, 16.99913f, 12.42443f, -11.29278f, -2.09633f, 9.10859f, 2.62716f, 2.96567f, 2.71977f, 4.41341f },
{ 4.02657f, -6.26914f, -5.58765f, 7.28889f, 3.66868f, -7.37222f, 3.81188f, -6.62991f, -4.68091f, -0.57773f, -1.37669f, -2.60793f, 5.82070f, 12.34795f, 18.47465f, -8.51150f },
{ 4.73290f, -22.34373f, -4.26403f, -17.97960f, -8.06032f, -11.70633f, -6.35722f, 7.61766f, 7.94826f, -4.20087f, 14.52787f, -11.93611f, 0.31029f, 16.20086f, 7.57666f, -5.46226f },
{ -3.45541f, -3.15291f, -17.10531f, -7.91284f, 29.10162f, -12.88781f, 2.55591f, -0.14816f, -2.22603f, -7.04977f, 3.99818f, 1.61139f, 3.43901f, -8.07366f, 6.97717f, 2.98369f },
{ 13.40890f, 3.32976f, 5.04054f, 9.98236f, 1.36064f, 10.27382f, -4.45971f, 0.41687f, 12.00798f, -6.29781f, 14.35689f, -14.54992f, -5.28818f, -7.35171f, -7.17816f, -18.62327f },
{ 9.11581f, -2.27479f, 0.28471f, 12.33918f, -12.85023f, 10.75370f, 5.65479f, 4.49526f, -13.60934f, 3.18400f, -3.07818f, -5.36081f, -9.06061f, -3.74993f, -19.83930f, 9.54302f },
{ 14.65816f, -5.40978f, -3.91611f, -14.06075f, -13.15201f, 24.06998f, 11.15828f, -28.81386f, -15.74907f, -13.09767f, 8.32096f, -1.02445f, 4.41568f, -14.93142f, -5.24707f, 5.58574f },
{ -11.71067f, 1.54158f, -2.22890f, -8.93278f, 2.66429f, -3.46424f, -12.45042f, -13.86718f, -4.08105f, 32.32069f, -8.21036f, -8.62627f, 12.87198f, -1.91769f, 0.94659f, 7.58267f },
{ 16.59521f, 20.09228f, -4.45837f, 23.14014f, 12.12971f, -5.77735f, -0.25498f, 10.96932f, -7.25122f, -4.17948f, 19.15039f, 5.24142f, -2.49029f, -6.03662f, -22.93150f, 4.44779f },
{ -15.85081f, -6.42629f, 1.11705f, -11.71073f, -16.71432f, -16.61204f, -1.87791f, 17.47414f, 7.71866f, -14.65924f, -14.56811f, -3.96606f, 10.18789f, 18.90531f, -3.38741f, 1.50639f },
{ -0.68738f, 9.87065f, 9.83924f, 8.11968f, 4.23975f, 0.87879f, 27.60516f, 6.32686f, -5.69116f, 11.57717f, -16.23623f, -0.90695f, 1.38335f, 14.43102f, -3.69329f, 11.24450f },
{ 1.12689f, -5.09364f, 7.79597f, -0.41675f, 11.47824f, 1.85772f, 12.17668f, 1.10001f, -8.72182f, 4.89798f, -8.15707f, 0.57763f, 1.12836f, 3.67369f, 7.27869f, -5.24339f },
{ -7.75368f, -12.86021f, -18.48091f, 2.64288f, -2.00229f, -11.96384f, 11.58492f, 18.94369f, -1.83729f, -13.95032f, -1.71152f, 14.34797f, -0.78788f, 14.49433f, 8.64482f, -1.97972f },
{ -8.56074f, 10.65078f, -10.11378f, -0.97396f, -6.43732f, 8.31228f, -2.02929f, -2.76249f, -8.87717f, -16.25218f, 4.06655f, -4.50371f, -16.34167f, -5.49856f, 0.61279f, 11.93437f },
{ -17.70275f, 6.92327f, 5.29635f, 1.01372f, 16.17691f, -17.45087f, -8.02519f, 8.42386f, 4.47315f, -10.99911f, -9.01171f, 11.28668f, -7.82462f, 1.53273f, -6.43364f, -6.16693f },
{ -9.26697f, 31.52682f, 3.56692f, 4.38821f, -9.63118f, 4.55962f, 3.90604f, 6.00607f, -9.24347f, -11.15819f, 11.31922f, 3.76139f, -3.45658f, 5.10451f, 11.54307f, 17.45885f },
{ 7.23567f, 3.23291f, -2.32906f, -5.47309f, -4.39598f, -15.03880f, 7.12883f, 2.13748f, 1.27264f, 1.68457f, -5.58953f, 5.88557f, 6.03900f, 4.44643f, 3.18822f, -1.39050f },
{ -13.71989f, 5.05940f, 2.81705f, 14.93187f, 4.46152f, -4.99582f, 1.83696f, 10.72717f, -5.08825f, 8.78929f, 1.67667f, -10.12727f, 4.36447f, -7.05965f, -11.79347f, -3.17324f },
{ -8.00370f, -4.44412f, 21.13291f, -4.31131f, 1.66361f, -5.95641f, 7.41687f, 17.00318f, -4.41915f, 1.77732f, 2.50428f, -10.16559f, -1.76940f, -1.47550f, -23.96080f, 3.29131f },
{ 1.81282f, -6.43150f, 12.81003f, -2.07593f, 6.86591f, 4.42357f, 13.28927f, -0.67459f, 5.04465f, -7.41407f, -0.50590f, -11.54247f, -1.06575f, -4.69564f, -3.49459f, 10.49415f },
{ -0.85358f, 1.73940f, -13.73386f, 2.22226f, -10.99701f, -15.68032f, 27.15822f, 8.97040f, 6.44085f, 3.50277f, 4.23877f, 3.18061f, 16.54212f, -2.40280f, -2.88527f, -8.80076f },
{ 2.40955f, -11.48560f, -15.24026f, 5.31635f, 6.59648f, 8.07419f, -10.71580f, 3.70987f, -12.08852f, -9.16273f, 1.35038f, 9.03275f, -1.18620f, -13.95790f, 7.67958f, 4.48609f },
{ 3.82708f, -7.65396f, 22.45051f, 8.94283f, -6.92696f, -2.98277f, -26.02569f, -4.17236f, -8.58059f, -3.94034f, 7.54861f, -7.37760f, 7.71854f, -6.16167f, 5.68164f, -5.18873f },
{ -12.03077f, 7.01904f, -13.35411f, 5.70042f, 3.55041f, 18.73587f, 1.80926f, 9.96926f, 7.76965f, 1.12572f, -8.17577f, -4.82428f, 8.43119f, 0.14926f, -4.04569f, -17.68088f },
{ 17.47566f, -13.67780f, -18.97463f, 5.82721f, -4.16669f, 15.52968f, -15.00514f, 8.67041f, 4.21963f, 14.03526f, -12.96300f, -2.06882f, 15.25476f, 10.21525f, -0.01943f, -22.82732f },
{ 4.31509f, -1.00220f, 23.22872f, -6.40088f, 10.94319f, 5.10798f, 12.47095f, -11.16677f, -6.74948f, 2.94179f, 15.25674f, 11.48973f, -17.99242f, -3.53054f, -0.67201f, 4.24873f },
{ 1.97845f, 9.02194f, -3.38965f, 2.77712f, -0.72991f, 1.55739f, 10.15205f, 11.38147f, -11.90784f, 19.64167f, 0.60946f, 1.55143f, 13.63152f, -5.17921f, 9.57356f, 10.79435f },
{ -15.62675f, -7.77938f, -24.06865f, -1.69373f, -2.72082f, -11.58297f, -10.34237f, -13.57280f, 0.52598f, 9.53225f, -15.04151f, 12.93672f, -19.46622f, -8.25699f, -7.05202f, 9.46074f },
{ 17.87206f, -16.29223f, -4.26944f, -4.49656f, 13.25385f, 10.11374f, 10.55293f, -13.70335f, 19.54741f, -20.84690f, -1.05997f, 7.56298f, -9.48171f, 9.04874f, 4.37338f, 8.87238f },
{ -6.42192f, 4.06812f, 5.00677f, 10.21202f, 5.12960f, -0.16150f, -3.98338f, -2.62265f, 2.54383f, -10.73865f, -6.31444f, 9.71228f, -10.92569f, 9.40667f, -10.72905f, -1.20098f },
{ 11.70406f, 0.62310f, 1.16596f, -0.07232f, 29.81937f, -14.45829f, 7.68275f, -3.36562f, 5.94348f, -10.47191f, -0.40672f, 6.36079f, -2.35169f, -3.94320f, 4.93362f, -2.46487f },
{ -13.08774f, 16.55416f, -7.03028f, -7.28978f, -26.56338f, 13.35797f, 4.39415f, -6.19839f, 5.88500f, -1.32342f, -10.01979f, -13.58553f, 12.93975f, 13.45429f, -21.44559f, -8.91722f },
{ 4.30862f, 4.51838f, 2.47819f, -1.66380f, -15.39992f, -12.24321f, -16.56102f, 5.65651f, -7.41744f, -20.36377f, -15.15406f, -11.11767f, 27.27460f, -6.45749f, -11.08510f, 7.40237f },
{ 5.63226f, 15.80947f, 5.96715f, 4.32016f, -1.17234f, 7.30219f, 15.86862f, -4.49827f, 4.85525f, 4.61284f, 7.10437f, 5.89719f, -19.98107f, 6.01700f, -23.23027f, 3.47789f },
{ -0.03855f, 0.32878f, 8.36662f, -5.77708f, -9.41657f, 5.06977f, 0.98976f, -7.14738f, -1.49041f, 10.85331f, -0.77252f, 10.20463f, -3.46255f, 8.00373f, -4.19781f, -30.85167f },
{ -10.40664f, 4.04986f, -0.06387f, -16.39589f, 11.44935f, 8.22523f, -5.66483f, 3.13259f, -10.00359f, -7.82090f, 13.70834f, 2.55447f, 19.95863f, -8.15628f, -4.90300f, -5.56843f },
{ -14.51232f, -4.07295f, -8.25833f, -3.45625f, 4.04501f, -9.30352f, -8.12549f, -8.78210f, 0.05419f, -21.13956f, -9.46425f, -11.06088f, -2.14202f, -4.94807f, -2.58470f, -10.95443f },
{ -1.11635f, -6.52550f, -19.60351f, 9.59538f, 12.88777f, -14.63565f, 0.98182f, 7.91910f, -8.60473f, -5.43492f, 8.39690f, -17.84690f, 2.80672f, -13.28641f, -1.87165f, -4.78757f },
{ 28.78939f, 2.59216f, -9.07319f, -7.31031f, -14.64494f, 1.40546f, 17.33911f, 14.74653f, -3.55589f, 0.68227f, -13.41954f, -5.72331f, -3.38038f, -7.09812f, -2.08135f, -13.84274f },
{ 1.20337f, 10.31582f, -18.40979f, 28.37625f, -2.20258f, 2.51648f, 0.49796f, -0.92480f, 15.91655f, 7.89406f, 9.84739f, -7.64032f, 2.21622f, -12.13319f, 3.75489f, -3.42486f },
{ 18.75659f, -28.82233f, 10.94921f, 8.72373f, 5.15845f, -4.43262f, 17.55388f, 6.60168f, -0.41036f, 8.48007f, -4.52472f, -9.87163f, -4.21364f, 21.93805f, 7.82053f, -3.23838f },
{ -15.41192f, -2.90073f, 20.74000f, 16.17169f, 0.70470f, 0.39927f, -5.02259f, -18.04276f, -17.27926f, 8.05642f, -5.97288f, 12.72619f, 0.04581f, -13.93611f, 7.24089f, -5.75468f },
{ 9.16603f, 5.12108f, -8.15408f, -3.41512f, -7.36381f, -4.10272f, 17.45450f, -0.62685f, -10.69734f, -15.32729f, 1.61148f, -4.51300f, -15.29539f, 15.47768f, -0.55753f, 15.65951f },
{ 1.11191f, 3.35285f, -0.56238f, -15.10806f, 11.75002f, -1.22819f, -1.39574f, 6.81362f, 15.87072f, 6.51684f, -9.87992f, -14.26013f, -6.77483f, -2.94806f, 3.12056f, 10.72169f },
{ 11.46424f, -2.37901f, 1.26409f, -8.68179f, -0.96035f, 0.89401f, 3.18061f, -3.44021f, 14.28314f, 12.24103f, -14.39251f, 2.86073f, -4.53284f, -22.56321f, -4.43401f, -3.99284f },
{ 11.73187f, -2.58549f, 7.18357f, -3.13825f, -0.36930f, -7.58740f, 5.58136f, -1.18243f, -4.71271f, -6.83313f, -11.41991f, -1.16242f, 4.17551f, 6.97885f, -2.92884f, -1.16057f },
{ 4.65445f, -13.39059f, -28.80657f, -8.87663f, 3.22464f, -4.03033f, -1.13387f, -0.65312f, 15.85556f, 0.94906f, -1.52418f, -22.12207f, -15.09469f, -7.75096f, -2.85904f, -6.49059f },
{ -0.12355f, -4.75927f, -1.48030f, -6.52346f, 3.36760f, 3.49007f, 11.36399f, 10.70478f, -7.41101f, 7.11289f, -8.01643f, -2.90103f, -4.87968f, 7.88309f, 0.74162f, 12.98558f },
{ -19.86041f, -6.10993f, -4.51392f, -14.01582f, -5.80953f, 5.32017f, -0.78625f, -25.05942f, -2.34971f, -4.85834f, -8.97578f, -5.24377f, 1.59622f, -12.27962f, -2.17852f, 3.74145f },
{ 0.64396f, 13.11255f, 12.21259f, 11.39204f, -6.61108f, 4.93546f, 9.60317f, 1.60181f, -8.08145f, 3.05834f, -8.34460f, 8.17098f, 9.93898f, 10.49772f, 8.03715f, -10.04210f },
{ -0.03976f, -8.15538f, -15.23029f, 2.64258f, 2.21033f, -16.43173f, -0.17133f, -14.20663f, -9.48586f, -6.21993f, -5.36597f, 13.45509f, -0.70906f, 8.37533f, 6.12095f, 14.56479f },
{ 13.29181f, 3.04338f, -0.56223f, 18.07738f, 8.99540f, 5.26986f, -2.93797f, -3.08501f, 10.73961f, -10.08538f, 4.26667f, 17.74209f, -0.72479f, 4.96444f, -7.51858f, -7.08551f },
{ 0.36770f, 10.40721f, -10.34679f, -14.33059f, 17.39640f, 0.45779f, 3.41611f, 4.32030f, 15.79892f, 0.34449f, 7.20464f, -2.64284f, -10.65687f, -9.90487f, -0.18135f, -16.27967f },
{ 7.16100f, -4.32132f, -14.18536f, -3.26898f, 0.70016f, -3.37976f, -20.26017f, -16.73986f, 14.64265f, -6.46086f, 1.37454f, 6.67781f, 3.32940f, -16.78621f, 0.03911f, 3.32750f },
{ 14.35635f, -5.30576f, -9.76997f, 0.03425f, -5.06185f, -3.07669f, 3.57399f, 2.95256f, -3.76250f, 3.88593f, 12.18114f, -1.16020f, 5.00818f, 19.88425f, 5.85580f, -4.78050f },
{ 3.31820f, -5.41595f, -1.48140f, -18.19386f, -4.47417f, -0.24299f, -4.58061f, 9.26657f, -5.63010f, 16.74024f, -9.39476f, -10.37365f, 6.92098f, 13.97291f, 5.23907f, 10.11862f },
{ 6.04474f, 0.44042f, 19.91045f, -12.23902f, -3.47819f, -2.70623f, 4.07065f, -0.36328f, 1.11928f, 10.13515f, 1.55778f, -16.92876f, 9.96019f, -4.40606f, -6.52471f, -6.35377f },
{ 7.32052f, 2.99210f, 11.17098f, -9.74921f, 0.28096f, -14.54562f, 15.00179f, 15.23820f, -4.99647f, -13.52523f, 10.22528f, 15.91823f, -23.47702f, -2.44951f, 1.28129f, -5.26436f },
{ 11.98032f, -4.60134f, 7.22968f, -0.60960f, -3.22515f, -11.54452f, -8.13239f, -8.88541f, -29.89281f, 15.12246f, 8.53996f, -5.87793f, -0.54336f, 1.84363f, -7.71783f, 11.72937f },
{ 5.00108f, -0.28502f, -0.53173f, 22.04692f, 0.85278f, -5.38328f, 1.91449f, -9.34355f, -15.54707f, 14.55976f, 2.44613f, 11.11646f, -9.83978f, -21.67542f, -6.72641f, 0.78456f },
{ -9.36694f, -3.95598f, 4.42949f, 11.60599f, 14.48294f, 14.37483f, -2.20001f, -3.71184f, 3.98442f, 6.67488f, -4.37768f, 0.63023f, -19.42603f, -12.52157f, -9.76064f, -7.56475f },
{ 3.59105f, 9.69439f, 1.27473f, 3.99391f, 10.86449f, -6.17779f, -4.58703f, 2.84004f, 14.14770f, 12.30302f, 11.87692f, 10.21778f, -15.27282f, -8.90057f, 2.58277f, 6.77458f },
{ 7.73287f, -5.75952f, -0.64844f, 6.36144f, -1.30832f, -2.89723f, -14.20050f, 6.69295f, -2.34831f, -0.46226f, 5.85758f, 9.71937f, 20.68273f, -2.03879f, -13.27891f, -30.00573f },
{ -1.65277f, 14.40596f, -29.29484f, 2.29622f, 10.25385f, -5.82563f, 0.59820f, 13.52343f, 14.18486f, -0.50501f, -8.77244f, 4.10068f, -11.47315f, 2.41624f, -6.55493f, -0.70217f },
{ -14.48156f, -8.11221f, -18.39807f, -23.85556f, 2.34193f, -7.35752f, -0.12155f, -13.46572f, -14.23053f, 1.24209f, 13.68662f, -10.99197f, -17.08584f, -3.09334f, -14.04251f, -17.17149f },
{ 4.45606f, -13.84154f, -4.14056f, -12.65908f, -1.58220f, 1.63242f, 2.52208f, 6.28740f, -0.22790f, 2.25364f, 15.96828f, -6.34872f, -16.27211f, 15.50858f, -7.56690f, -7.51574f },
{ 3.52485f, -8.49539f, -5.09633f, -10.72023f, -8.01596f, -1.60111f, 18.45798f, -2.48145f, -4.45755f, -15.10407f, 3.11773f, 15.75726f, 15.22102f, 11.49679f, -7.35570f, -6.26069f },
{ 13.11305f, -10.28496f, -16.79067f, -3.64193f, 19.98668f, -25.24010f, -6.51486f, 7.72963f, 1.94579f, 5.76074f, -16.75067f, -10.52441f, -5.56204f, 8.65190f, -0.36711f, 2.69256f },
{ 9.13276f, -3.74973f, -10.11482f, 3.43494f, 14.86423f, -4.86583f, 5.16931f, -10.12988f, 10.15073f, 6.62372f, 13.15769f, -0.32523f, 3.10289f, -4.74739f, 11.25937f, 22.53029f },
{ 10.54038f, -9.94436f, -6.53311f, -2.82260f, 7.05349f, 1.31456f, 7.38356f, 4.29170f, -1.25089f, -1.20279f, -7.64134f, 2.05379f, 3.21404f, 22.01121f, -15.21944f, -14.20375f },
{ -6.75704f, -8.93791f, 18.51734f, -3.12283f, 0.47024f, -27.09023f, -8.34152f, -3.58673f, -4.06869f, 0.31289f, 1.87366f, -17.88460f, -15.91717f, 7.90777f, -8.52665f, 0.63613f },
{ -14.04776f, 1.50420f, 5.26603f, 5.50941f, -11.02503f, 12.63013f, -24.76136f, -9.15165f, 16.66155f, -0.97562f, 7.41638f, 0.26280f, -6.86578f, -2.37992f, 5.78121f, -2.22891f },
{ 4.68808f, -13.64833f, -18.07142f, -5.14379f, 10.97867f, -18.63963f, -23.59966f, 0.16388f, -4.33243f, 13.00188f, 11.60701f, 4.37300f, 4.80382f, -12.76560f, 4.58552f, -1.43464f },
{ -7.40435f, -8.43793f, -2.29116f, 16.01934f, 3.87009f, -5.89178f, 1.61691f, -19.90520f, -1.73971f, 13.70807f, 4.39459f, 6.91778f, -7.07568f, 2.10442f, 1.73959f, -4.12813f },
{ -3.04280f, -6.66333f, -9.95789f, -3.66010f, 1.05431f, 11.75839f, 11.78376f, 15.35190f, -0.96771f, 7.02345f, 3.10711f, 13.23752f, 9.43398f, -3.82547f, -5.83846f, -11.76487f },
{ -20.97210f, 3.28589f, 9.41205f, 5.85032f, -4.49274f, -14.86324f, 1.89232f, 4.70319f, -3.10414f, 17.04706f, 4.61703f, -0.32122f, -16.05199f, -17.73927f, 12.58329f, 8.62396f },
{ 3.22662f, 3.88462f, 3.43843f, 0.26132f, -0.56258f, -1.50360f, -6.61832f, -11.87189f, -8.15903f, 9.13613f, -5.31903f, -5.36980f, -3.29062f, -3.25145f, -15.70202f, -8.83183f },
{ -5.46965f, 7.02653f, 14.15258f, 18.97704f, -3.40022f, -12.73582f, 0.04664f, 11.68550f, -1.96000f, 1.11819f, -1.85403f, 5.81153f, 11.49807f, -3.28900f, -4.42141f, 8.62805f },
{ -22.08392f, 8.70995f, -8.68685f, -6.52374f, 2.95957f, 16.86308f, 11.82885f, 0.17231f, 1.43518f, -7.14689f, -10.20149f, -14.45895f, -0.13725f, -0.97166f, -2.45992f, -1.95985f },
