{
{ 0.08144f, -0.76467f, 0.16752f, 1.75935f, -1.41071f, -1.34018f, 0.90333f, 1.01198f, -1.29336f, -0.10368f, 2.27721f, 0.09245f, 0.25523f, 1.51169f, -0.95130f, 0.06777f },
{ -0.39799f, -0.06181f, -1.63540f, 0.09964f, -1.02540f, 0.42830f, 1.88762f, 0.03426f, -0.15459f, 0.29296f, -0.40678f, 0.96808f, 1.69107f, -1.46524f, -0.37920f, 0.23356f },
{ -1.95453f, -1.78737f, 0.60301f, -0.82788f, -2.17626f, -0.86707f, -0.36895f, 1.15868f, 0.00813f, 0.73663f, -0.09616f, 0.14240f, 0.07183f, -0.44041f, -1.53610f, -2.22387f },
{ 1.12119f, 1.31321f, 0.01968f, 1.32384f, -0.45249f, -0.57420f, 1.23830f, 0.19501f, -0.06934f, -0.09369f, -0.37408f, -0.25072f, 0.67776f, 0.82796f, 1.02120f, -1.29917f },
{ 0.63126f, 2.16712f, -0.51351f, 0.90747f, -1.46420f, -0.64157f, 0.18381f, 0.24925f, 0.46311f, -1.01413f, 0.64535f, 0.07200f, 1.09428f, 1.05760f, -0.12880f, -0.11072f },
{ -1.41952f, 0.12442f, -0.68998f, 0.14426f, 0.69244f, 0.47812f, 0.16162f, 0.61976f, -0.57244f, 1.15030f, -0.46623f, -1.81325f, -1.65312f, 0.88010f, -0.14070f, -0.11663f },
{ -0.15969f, -0.03786f, -0.16939f, 0.94446f, -0.75473f, -0.12404f, -1.00547f, -0.99879f, -0.32869f, -0.04900f, -0.67946f, -0.31393f, 0.32411f, -0.52755f, -0.12679f, -2.08941f },
{ 1.93389f, 0.67800f, 0.40102f, 1.43812f, 0.54902f, -1.85045f, 0.11084f, -0.96252f, -0.76705f, 0.60820f, 0.05012f, -0.76846f, 0.20092f, 0.80004f, 0.18076f, -0.76192f },
{ -0.10095f, 0.94722f, -0.19046f, 0.37044f, -1.11791f, -0.07417f, 0.96875f, 0.34165f, 1.56366f, 1.37319f, 0.04402f, 0.50024f, -0.77369f, 0.85448f, -1.34191f, -0.33064f },
{ -0.23264f, 0.56380f, 1.14989f, -0.60674f, -1.06326f, -0.44847f, -0.36064f, -0.07158f, -1.75556f, 0.13765f, 0.04518f, 0.18077f, -0.02906f, -1.38583f, -2.05222f, -0.78471f },
{ -0.49790f, 2.02677f, -0.82589f, -0.63228f, -1.33816f, -1.45550f, -0.86381f, 1.38626f, 0.45112f, 1.68065f, -0.57200f, -1.52800f, -1.31309f, 0.83837f, 2.02950f, -0.36098f },
{ -0.49196f, 0.60096f, -0.97036f, -1.63320f, -0.60810f, 1.32293f, 0.71166f, 1.63809f, 1.13791f, -1.57818f, 1.95781f, 1.05505f, -0.73676f, 0.57298f, -0.48720f, 1.09172f },
{ -0.21686f, -0.52846f, 0.50547f, -0.11730f, -0.09448f, 0.10932f, -0.69973f, 1.68703f, -0.03183f, -1.00306f, 0.25573f, 1.06480f, -0.49678f, 1.03369f, -0.31983f, -2.36890f },
{ 0.92583f, -0.94642f, 1.53440f, -0.36900f, 0.53717f, 2.23569f, -1.10815f, -0.69982f, -1.31299f, -0.78154f, 0.62279f, 1.09101f, 1.15686f, -0.90772f, 1.23098f, 0.00732f },
{ 1.00747f, 0.83329f, -0.00625f, -0.30038f, 0.90330f, -1.19571f, 1.81877f, -0.48957f, -0.61552f, 0.29770f, 0.26797f, 1.72212f, -0.19258f, -1.62146f, -1.67508f, 0.93213f },
{ 0.23134f, -0.78203f, -1.09737f, 1.23147f, -0.55722f, -1.05996f, -2.03343f, 0.57376f, -0.60112f, 0.40654f, -0.69167f, 0.06164f, -1.32031f, -0.05650f, -0.48860f, -1.86924f },
{ 1.42151f, -1.80022f, -0.17867f, -0.41000f, 0.62582f, -0.17222f, 0.86035f, 0.23910f, 1.36626f, 1.64339f, -0.20733f, 1.99349f, -0.74140f, 1.05206f, -0.38513f, 0.45501f },
{ -1.39903f, 0.88787f, 0.24675f, -0.54488f, -0.24793f, 0.36271f, 0.31812f, 0.43195f, 1.58715f, -1.96583f, 0.54802f, -0.60390f, 0.44489f, 0.87100f, -0.65790f, 0.51796f },
{ -1.40344f, -1.48832f, 0.26182f, -0.27209f, -0.22876f, 0.34455f, -0.23544f, 0.69457f, 0.36556f, -1.03363f, -0.69339f, 1.83638f, 0.36744f, -0.70652f, -0.16190f, 0.33216f },
{ 0.44485f, 1.36756f, 0.70687f, 0.15055f, 0.09366f, -0.13085f, 1.03780f, -0.41887f, 0.62569f, 0.32989f, 0.58426f, -0.40343f, 0.24878f, -0.57566f, -1.18244f, -0.17793f },
{ 0.00025f, 1.76879f, 0.34715f, -0.57432f, 0.05521f, -0.37808f, 0.30520f, -0.48004f, -0.07063f, 1.23071f, 0.10668f, 1.73632f, -0.02255f, -2.70355f, -0.34734f, -0.80002f },
{ 0.66951f, 0.93532f, -1.46739f, -1.41764f, -0.45833f, -0.36396f, 0.66403f, 0.22095f, 0.66070f, 0.27578f, 1.10305f, -0.43343f, 0.36175f, 0.29231f, 0.75954f, -0.30825f },
{ 0.47545f, -0.43869f, -0.64553f, 2.49744f, 0.22374f, 0.04519f, -0.60901f, 0.19420f, -0.72361f, -2.26321f, 1.09844f, -0.48323f, -0.04831f, 0.14017f, -0.29744f, -0.84597f },
{ -0.39994f, 1.34383f, -1.42525f, -0.19614f, 1.21313f, -0.43445f, -0.85895f, -0.19798f, -0.62851f, -0.51616f, -0.13712f, 0.76377f, 0.67630f, 0.64378f, -2.52119f, 0.78592f },
{ 0.99402f, 1.09913f, 1.21110f, 0.18945f, -1.38940f, 0.02980f, -1.31548f, -0.11269f, 0.79920f, 0.04173f, 0.21039f, 0.86644f, 0.39137f, -0.26992f, 1.25286f, -1.70366f },
{ -2.35885f, -1.12281f, -0.96501f, -0.06486f, 0.42369f, 1.03210f, 0.57948f, -0.55490f, -1.31448f, 1.36214f, 2.55940f, 1.68912f, 0.99237f, 0.18160f, -0.33354f, 0.70420f },
{ 1.57550f, -0.28226f, -2.39574f, 1.55361f, 0.88144f, 0.94525f, -0.87209f, 0.54934f, 0.17324f, -2.37833f, 0.90388f, -2.40654f, -0.53812f, 2.16798f, -0.82361f, 0.39157f },
{ 1.06411f, -0.29455f, 1.85667f, 0.35012f, 0.79854f, -0.16162f, -0.23857f, 1.16981f, 0.79816f, -0.06486f, -0.70288f, -1.78593f, 1.16549f, -0.57386f, -0.07622f, 0.14359f },
{ -0.82265f, -0.73066f, 0.28018f, 0.07622f, -0.93856f, -1.47974f, -1.15514f, -0.67612f, -0.28279f, -1.70063f, 0.13520f, -0.19982f, 1.29808f, -2.27317f, 0.90936f, 0.26179f },
{ 2.03705f, -0.82253f, 0.94287f, 0.60700f, 1.24382f, 1.33675f, -1.17622f, 0.94178f, 0.64856f, 0.26043f, -0.20516f, -0.34289f, 0.00311f, 0.24888f, 0.21126f, 0.32803f },
{ 0.78964f, -0.63492f, 0.23247f, -0.80348f, 0.11106f, 0.01181f, -0.57375f, 1.89965f, 0.06323f, -0.88826f, 0.45661f, -1.20701f, 1.32596f, 0.21847f, -0.20440f, -0.14627f },
{ 0.64235f, -1.15012f, 0.22273f, -0.23025f, 0.24388f, 0.45474f, 1.16965f, 0.01729f, 1.84682f, -0.10950f, 1.33028f, 1.36539f, 0.49022f, 0.94914f, 0.26832f, 0.26728f },
{ 0.06076f, 0.64995f, -1.34744f, -0.82904f, -0.34486f, 2.35323f, -0.53336f, -2.18966f, -0.37716f, 0.75332f, -0.40014f, 0.03864f, 0.80477f, -0.62965f, 0.49104f, -0.06354f },
{ 0.46794f, 1.11369f, 0.02974f, -0.02320f, -0.38973f, 1.37461f, 0.03349f, -0.17965f, -1.18051f, -0.05072f, -0.41004f, 0.40639f, 1.49875f, 0.68702f, -0.25545f, -0.18437f },
{ 0.59756f, -2.27078f, -0.05970f, 0.68605f, 0.88184f, -1.04506f, -0.63004f, 1.09718f, -0.62576f, -0.51892f, 0.49416f, -1.60635f, 1.19825f, -0.26158f, -1.33455f, 1.00563f },
{ -1.01079f, 0.29394f, 2.50957f, 0.41402f, -0.68312f, 1.24997f, 0.38170f, 0.49293f, -0.46401f, 1.08056f, 0.48426f, 0.24593f, 1.13427f, -0.74775f, 1.61088f, -0.84435f },
{ 0.77896f, 0.00705f, -0.19189f, -0.48108f, -1.09808f, -0.21827f, 0.81268f, -0.22402f, -0.75342f, -0.30531f, 0.66675f, -0.41054f, -0.02175f, 1.32594f, -1.37767f, 0.59810f },
{ -3.00783f, 0.20998f, 0.56711f, 0.95897f, -0.82855f, -0.23238f, -0.33639f, -0.17410f, -1.65569f, -0.52907f, -0.22263f, -0.37300f, -1.55721f, 0.19801f, 0.53403f, 0.81162f },
{ -0.48284f, -1.13037f, -0.80673f, -0.09177f, 2.18053f, -2.13854f, -0.69647f, 0.94721f, 0.57804f, 1.18312f, -1.61444f, -1.27866f, -1.52248f, 0.28136f, 2.51210f, -0.00340f },
{ 0.60123f, -1.14312f, -0.49082f, -0.04880f, -1.20334f, 0.84908f, 0.82541f, -0.02682f, 1.79783f, -0.88017f, -0.47907f, 0.11890f, 0.96747f, 0.62341f, 0.20272f, -0.03479f },
{ -1.40511f, -0.40225f, -1.34267f, 0.63418f, 0.29194f, 1.75330f, 1.17341f, -0.84801f, -0.80249f, -1.82192f, 1.01993f, -0.40317f, 0.93061f, 0.38235f, 0.13982f, 0.98375f },
{ -0.35618f, -0.88811f, 0.59901f, 0.04578f, -2.02325f, -0.22399f, -2.22136f, 0.99135f, 0.18067f, -0.79649f, 0.24173f, 0.63689f, 1.01045f, 0.28297f, -0.12076f, 0.00843f },
{ 0.44337f, 0.54120f, -1.24174f, -0.94173f, -0.27733f, 0.14155f, -0.81804f, -0.32952f, -0.90628f, 1.94381f, 1.06544f, 0.55011f, 0.52924f, -0.50334f, 0.33089f, -1.04020f },
{ 0.19591f, -0.10051f, 0.31884f, -0.83946f, 0.89312f, -1.94574f, 0.94257f, 0.03578f, -0.38142f, -0.46854f, -1.49690f, 0.94032f, -1.00979f, -0.76469f, 0.03171f, -0.50352f },
{ 0.53298f, -1.58509f, -0.97059f, 0.85667f, -2.13882f, 0.69934f, 0.79358f, -0.34477f, -1.54670f, 0.19048f, -2.24917f, 0.84584f, 1.01128f, -0.88630f, 0.50566f, 0.54272f },
{ 0.04486f, 1.73109f, 2.19629f, -1.82677f, -0.22896f, 0.61997f, -0.92902f, -0.28700f, 0.48663f, -0.72880f, 0.39037f, 2.19968f, 1.48647f, -1.41655f, -0.89032f, 0.21389f },
{ 0.43135f, -0.54027f, -0.53010f, 0.54202f, 0.32732f, 0.86311f, 0.79659f, -0.94035f, 0.56800f, 2.78938f, -0.03649f, 0.45813f, 0.56879f, -0.01205f, 0.42368f, -1.32336f },
{ -0.37868f, -0.36483f, -0.67322f, -0.32537f, -0.34075f, -0.30238f, 0.34123f, -0.43756f, -1.40196f, -0.89796f, 0.90252f, 1.06594f, 1.17765f, 0.17076f, 0.68403f, -0.91788f },
{ 0.02592f, -0.88168f, -0.75582f, 0.63464f, 0.68042f, 0.53811f, 0.37108f, -0.99625f, -0.15255f, 0.59443f, -0.15148f, -0.41356f, 0.33480f, -0.27215f, -1.47565f, 1.29684f },
{ 0.04418f, 0.71695f, 1.31762f, -0.93657f, -1.32230f, -1.36139f, 0.24019f, 0.22574f, -0.23285f, 2.30580f, 1.00369f, -0.23136f, -0.99121f, 0.41418f, 0.31056f, -0.20786f },
{ 1.22900f, -0.71354f, 0.59281f, 0.00575f, -0.78196f, -1.51237f, -0.56918f, -0.02937f, -0.39220f, 0.38037f, -0.77543f, -0.95537f, -0.52340f, -0.44934f, -1.30973f, 0.88159f },
{ 0.35794f, -0.70119f, 0.42320f, 0.11609f, -1.40757f, -0.14687f, -0.92583f, 0.21032f, -0.50440f, -0.16726f, -0.69011f, -0.31998f, -2.04790f, -0.72659f, 1.81702f, 0.16852f },
{ 2.15629f, 0.03424f, -0.27944f, -0.82731f, -0.63787f, -0.74990f, -0.47728f, -0.39864f, -0.10349f, 0.24722f, 0.04594f, 1.00675f, -0.17735f, 0.96027f, -0.61119f, -0.65584f },
{ -0.40494f, 0.43590f, -0.33572f, 0.33281f, 0.71945f, 0.21929f, -2.90118f, -0.62833f, 1.04184f, 0.62160f, 1.34492f, 0.63182f, 0.36306f, 0.54530f, 1.54727f, 0.32581f },
{ -2.15315f, 1.04874f, -0.55611f, -1.28174f, -0.16042f, -0.63285f, 0.21930f, -0.05831f, 0.99187f, 0.65147f, -1.32183f, 0.09097f, -1.41370f, -0.73222f, -0.73535f, 0.94870f },
{ -0.09157f, 0.68345f, 0.31754f, -0.68623f, -0.71472f, -1.04979f, 0.12646f, -0.16196f, 1.12254f, -0.55471f, -0.31915f, 0.14447f, -0.34369f, 0.18781f, 1.15937f, -1.79049f },
{ -0.73154f, 0.42633f, 0.35101f, -0.05953f, 0.00415f, -1.21012f, 0.86689f, 0.55700f, -0.24603f, -0.10949f, -0.05250f, -0.67340f, 1.37808f, -0.52649f, -0.76478f, 0.19898f },
{ -1.15037f, 0.50292f, -0.00387f, -0.54153f, -1.34277f, -1.34125f, 0.18045f, -0.88762f, -1.92878f, -0.58667f, -0.69749f, 0.55614f, 0.80386f, 0.01169f, 0.27740f, 0.89653f },
{ -1.02533f, 1.93147f, 2.02284f, 1.83025f, -1.03102f, -0.83338f, 1.46855f, 0.15162f, -0.35575f, 0.15595f, 1.65190f, -0.99681f, 0.24910f, -0.10945f, 0.99314f, 0.89028f },
{ -0.54570f, 0.31819f, -0.70061f, 1.03861f, 0.55135f, 0.10464f, -0.05331f, 0.75948f, -1.81276f, -0.09713f, -1.78708f, -1.87658f, -0.97584f, 0.85766f, -1.19539f, 1.02881f },
{ 0.60588f, 0.86979f, 1.24401f, -0.48929f, -1.04406f, 0.27481f, 0.26387f, -0.09347f, -0.36175f, -0.75208f, 1.18013f, -1.35724f, -0.76080f, -0.30626f, -0.91551f, -0.44742f },
{ 0.84482f, -1.13192f, -1.18059f, 1.09937f, -1.58700f, 0.60251f, -0.79199f, -1.05956f, 1.41116f, 1.30494f, -0.91112f, -0.51263f, 1.58536f, 0.72611f, 0.35778f, 0.05407f },
{ 1.05587f, -1.00140f, -1.45410f, -0.52269f, 0.03917f, -0.01620f, 0.62947f, 0.41038f, -1.48761f, 0.22549f, -1.90865f, 0.64947f, 2.15983f, -0.68332f, -1.27344f, 0.14364f },
{ -1.04751f, 0.45389f, -1.49639f, 0.89174f, 0.01690f, 0.77827f, 0.59643f, 0.16522f, 0.07625f, 0.97130f, -0.42181f, -0.70019f, 0.42949f, -0.24491f, 0.92292f, -1.34111f },
{ 0.69239f, -0.86255f, -0.71619f, 0.91142f, -0.88509f, 0.70891f, -0.36393f, -0.73889f, -1.20926f, 1.16828f, -2.06364f, -0.56326f, -1.84829f, -0.43380f, 0.49792f, 2.24313f },
{ 0.90793f, 0.20693f, 1.16620f, -0.34222f, 1.10214f, -0.26944f, 1.26973f, -2.65367f, -0.57667f, -1.85910f, -0.38551f, -0.66838f, 1.07657f, -0.18363f, -1.12211f, -0.42356f },
{ -0.92527f, -2.04318f, 0.42896f, -0.35360f, -2.10958f, 0.98652f, 0.93442f, -2.43665f, -0.68369f, -1.01619f, -0.25910f, 0.35478f, 0.43989f, -0.39950f, 0.98757f, -0.69644f },
{ 0.45636f, 1.01974f, 1.46052f, 0.35624f, -0.16701f, -0.40891f, 0.34200f, -0.27693f, -0.78239f, 0.92296f, 0.33378f, -0.28268f, -1.13459f, 0.99723f, 0.54521f, 0.61674f },
{ 0.15540f, -0.53934f, 1.70549f, 0.46789f, -0.92721f, 0.91524f, -0.31148f, -0.78150f, 1.93469f, 0.71557f, -1.15436f, 0.58854f, -0.33959f, -0.21521f, 0.85963f, -0.20854f },
{ 0.47753f, 0.17318f, -0.14202f, -0.17931f, 1.73842f, 1.48611f, 0.93639f, 1.47246f, 0.73971f, 1.05463f, -0.11764f, 0.33846f, 1.90433f, -0.39441f, 0.82629f, -0.91889f },
{ 0.07379f, -0.25134f, 0.86248f, -0.20218f, 0.17439f, -0.70936f, -0.60667f, 1.45592f, -0.69674f, 0.78011f, 0.89763f, -2.40869f, -0.91668f, 1.04495f, 1.45604f, 0.43712f },
{ -0.01417f, 3.07752f, -1.15220f, -0.21646f, 0.65176f, -0.58068f, -0.06034f, -1.11046f, 0.96202f, 0.20003f, -0.58600f, -0.01070f, -0.11697f, -0.00094f, 1.20827f, 0.88307f },
{ 2.23509f, 1.96982f, 0.65149f, -0.63973f, 0.11857f, 0.59772f, 1.30359f, -1.18911f, -0.61283f, 0.40296f, 1.19213f, 0.44605f, -0.49113f, -0.34020f, -0.16653f, -0.97485f },
{ -0.65635f, -0.85936f, -1.14147f, 0.73934f, 1.39528f, -0.16522f, -0.39876f, -0.08897f, -0.61518f, 0.48773f, 0.92249f, -0.45724f, -0.65916f, 0.30111f, 1.53250f, 0.84083f },
{ 1.09158f, -0.58428f, 0.22190f, -0.35252f, -0.52408f, 0.63453f, -0.26117f, 0.06934f, -1.33586f, -0.85715f, 1.38393f, -1.72121f, -0.74496f, -0.31986f, -0.88489f, -1.19431f },
{ 0.00359f, 1.42846f, -0.24599f, -0.13924f, -0.97942f, 1.17309f, 0.86310f, 1.02351f, -0.79206f, -1.09817f, 0.52222f, -1.95364f, -0.58742f, -0.26070f, -2.83929f, 1.63017f },
{ -2.42724f, -0.34969f, 0.41656f, 1.95978f, 1.55620f, 1.02875f, 1.24838f, -1.17209f, 0.26989f, 0.53833f, 0.61936f, 1.52884f, -0.31917f, -0.21966f, -2.03947f, 0.31523f },
{ 1.57127f, 0.82801f, 2.11656f, -0.87042f, 0.77274f, -1.19054f, -0.30086f, -0.68702f, -0.13197f, 0.77929f, 0.38810f, 0.47962f, -1.44406f, -1.18438f, -1.20573f, -0.34034f },
{ 0.61912f, 0.04307f, -0.92338f, 0.57459f, -2.46353f, -1.93528f, -0.04374f, -1.02329f, -0.54552f, 0.15025f, 0.68390f, 0.51066f, 0.56300f, 0.06110f, -0.06401f, 0.52551f },
{ -0.81616f, 0.24927f, 2.03783f, -0.36602f, -0.17242f, -1.82297f, -0.47455f, -1.70432f, -0.06187f, 0.28473f, 0.01410f, -0.95931f, 0.13964f, -0.53229f, -0.91809f, -0.42101f },
{ -0.04423f, -0.46119f, 0.08863f, 1.23296f, 0.68474f, -0.33754f, 0.35161f, 0.92860f, 0.65710f, 1.69292f, -1.52278f, -0.22313f, -0.92223f, 1.61161f, -0.14975f, 1.16035f },
{ -1.86426f, 0.53931f, 0.15381f, -0.01072f, -1.17725f, -1.01740f, 0.32164f, 0.45083f, 0.26025f, 1.10045f, 1.86839f, 0.64415f, -0.91128f, 0.37514f, -0.83824f, -1.14065f },
{ 0.39484f, -0.13671f, -0.33340f, 1.79448f, 0.50465f, 0.36476f, -0.14347f, 1.17174f, 0.37351f, 0.70754f, -1.43942f, 0.62210f, 0.30140f, 0.10623f, -0.81585f, 1.02224f },
{ 1.02494f, 0.06319f, -0.23581f, 0.16711f, 0.82043f, 0.46786f, -0.31826f, 0.57644f, 1.14782f, 1.70122f, -0.55824f, 1.00830f, 1.38611f, -1.57559f, 1.31409f, -0.01322f },
{ -0.06523f, -0.54469f, 0.85490f, -0.69250f, -0.54087f, -1.07717f, -0.40870f, -0.56039f, -0.11113f, -0.19240f, 1.06948f, -1.02777f, 0.71269f, -0.11296f, 0.39533f, -0.80420f },
{ -0.34187f, -1.43296f, 0.85301f, -1.17943f, -0.33296f, -0.34713f, 0.95347f, 0.60272f, -0.61777f, 1.32839f, 0.37005f, -0.47830f, 0.63906f, 0.01271f, 0.41712f, -0.39637f },
{ -1.32464f, 0.82167f, 0.74488f, 0.94157f, 0.47471f, -0.13885f, -2.05490f, 1.30635f, 0.71383f, 0.11076f, 0.86171f, -1.03688f, -1.04746f, -0.77070f, 1.08003f, -0.26462f },
{ 1.81450f, -1.34152f, 1.00860f, -0.82552f, -0.37467f, 1.34235f, 0.16988f, -1.28921f, 0.35014f, 0.43497f, 0.65938f, 1.13410f, -1.22283f, 0.76194f, 1.14141f, 0.24966f },
{ -0.16635f, 0.69096f, 0.82933f, 1.23276f, -0.20215f, 0.36833f, -1.10876f, 1.04143f, -0.88641f, 1.61930f, 0.21579f, 0.17648f, 0.17005f, 2.28996f, -0.13260f, -0.11743f },
{ 0.47034f, 0.77509f, 0.51956f, -1.88937f, 0.33750f, -0.23478f, 0.89160f, 0.71065f, -0.79172f, 1.82615f, 0.16522f, -1.26130f, 0.42056f, -1.01803f, 0.45317f, -0.15141f },
{ -0.09512f, -0.08278f, 0.71393f, 1.83683f, 0.34558f, 0.03716f, 0.68009f, -0.14351f, -0.06833f, -1.00729f, -1.51231f, -0.94613f, -0.56353f, -0.05385f, 1.30653f, 0.87684f },
{ 0.55784f, 0.74930f, -0.07146f, 0.80896f, -1.06088f, -0.57433f, -0.78150f, 0.26935f, 0.15271f, -0.66625f, -0.60852f, 0.37543f, -0.84829f, -0.62899f, 0.24793f, 2.18307f },
{ 0.60216f, 0.60476f, 0.13254f, -0.24086f, -0.38610f, -1.07678f, 1.18052f, 0.50882f, 0.49075f, 0.82814f, 1.09574f, -0.18195f, -0.24553f, -1.79840f, -2.00477f, 0.13831f },
{ -1.27116f, -1.35739f, 0.71692f, -0.48225f, -0.81768f, 0.28033f, -0.15227f, -1.99302f, -0.92895f, 0.46449f, 0.12356f, -0.46287f, -1.05248f, 0.16034f, 0.12461f, 2.05594f },
{ -0.54793f, 0.51533f, -0.75825f, 0.64768f, 0.77618f, -0.05520f, 0.87190f, 1.34400f, 1.46712f, -1.14505f, -1.70854f, 0.38730f, -1.09786f, -1.82224f, 0.50884f, 1.08478f },
